run_number,total_N,vector_sum_norm,pio3_stdev,pio4_stdev,pio6_stdev,pio8_stdev,pio3_stdev_n,pio4_stdev_n,pio6_stdev_n,pio8_stdev_n
365085,7366,504.364375621203,182.904500559781,131.950410323405,76.9960257586529,50.8096284586483,0.0991427725392275,0.12254890282781,0.155105911513437,0.18265318000397
365086,7367,505.09949109169,183.016406349238,131.995260564916,77.0017363899375,50.8064003010335,0.0991914826065806,0.122575578261228,0.155092749929968,0.182603187428575
365087,7366,505.445766359376,183.149781268916,132.051920944927,77.0190355839143,50.8215371627168,0.0992763555119031,0.122644179959388,0.155152264034698,0.182690229134731
365088,7366,504.364375621203,182.904500559781,131.950410323405,76.9960257586529,50.8096284586483,0.0991427725392275,0.12254890282781,0.155105911513437,0.18265318000397
365089,7365,503.896834958424,182.659305747045,131.735475609308,76.8950386566511,50.7607718865502,0.0990239906752923,0.122367891494627,0.15492711550016,0.182508242064762
365090,7365,505.19585615103,183.03643990985,131.971951385894,76.9872901899508,50.8065928957354,0.0992279722744035,0.122585554009174,0.155110241328105,0.182663387861672
365091,7366,503.586361066499,182.60812917185,131.738696267464,76.9069103862266,50.7663925071216,0.0989821254200428,0.12235327026693,0.154929129299751,0.182503508114278
----------filler,,,,,,,,,,
365097,7365,504.081914991136,182.709679821969,131.811047696023,76.9355618874989,50.7740865567079,0.0990517707075914,0.122436759542186,0.155003282251796,0.182544599819125
365092,7365,504.087745748853,182.789003262664,131.88192619081,76.9885128694339,50.8083226814802,0.0990928891084264,0.122498604706875,0.155105394809882,0.182663846155351
365094,7366,504.920624049645,183.052582654503,132.036265211006,77.0353514161225,50.8321246242323,0.0992247698525514,0.122631304710286,0.155186959912316,0.182734050427677
365095,7366,503.827341817237,182.697866308321,131.821180828383,76.9400450755871,50.7803397706171,0.099030610177854,0.122427551096448,0.154988575695476,0.18253446077537
365093,7364,504.253519127741,182.793201840315,131.834100626091,76.9207318015306,50.7720221880555,0.09911009000071,0.122475803282853,0.154998057293744,0.182562127031163
365096,7363,504.359180953649,182.79477957656,131.853014636082,76.9415193566496,50.7741825365684,0.099123360106017,0.122505354596464,0.15505456207117,0.182591012045029
365098,7363,504.359180953649,182.79477957656,131.853014636082,76.9415193566496,50.7741825365684,0.099123360106017,0.122505354596464,0.15505456207117,0.182591012045029
365099,7364,505.130212652945,182.989177074786,131.958045952975,76.976505115946,50.7917673632916,0.099215246308223,0.122586288363631,0.1551031316997,0.182623524866437
365100,7366,505.066537133303,183.05042237621,132.040700759618,77.0197429162049,50.8122066810656,0.0992212399360071,0.122629762875332,0.155146378120757,0.18264516984523
365102,7365,504.079281236184,182.724700410232,131.801172866462,76.9156937662231,50.7608022881646,0.0990592856660731,0.122426921972612,0.154961427886684,0.182494921342545
365101,7363,504.359180953649,182.79477957656,131.853014636082,76.9415193566496,50.7741825365684,0.099123360106017,0.122505354596464,0.15505456207117,0.182591012045029
365103,7364,505.130212652945,182.989177074786,131.958045952975,76.976505115946,50.7917673632916,0.099215246308223,0.122586288363631,0.1551031316997,0.182623524866437
365104,7363,504.359180953649,182.79477957656,131.853014636082,76.9415193566496,50.7741825365684,0.099123360106017,0.122505354596464,0.15505456207117,0.182591012045029
365107,7367,505.37358387489,183.171901958359,132.146414922676,77.0832977159903,50.8541623782746,0.0992746570575792,0.122712613642314,0.155254283335112,0.18276524556667
365108,7365,504.079281236184,182.724700410232,131.801172866462,76.9156937662231,50.7608022881646,0.0990592856660731,0.122426921972612,0.154961427886684,0.182494921342545
365106,7363,502.890595937653,182.369137699747,131.583870375739,76.8176510640365,50.7112907285221,0.0988934898836552,0.122258944723373,0.154807676049029,0.182366761959964
365105,7364,504.607644108194,182.907707525725,131.932712896351,76.9730103878584,50.7890754023579,0.0991715458468191,0.122563753244126,0.155096090028089,0.182617685642861
365109,7363,503.665166184103,182.664616262899,131.794930337496,76.9065110117303,50.7544745701867,0.0990537193318198,0.122454049508334,0.15498401233891,0.182516301133536
365116,7333,520.741094006585,187.344541324037,134.424283646687,77.9396013103269,51.1117159759196,0.102003609319715,0.125405364507979,0.157779009524815,0.184682587044527
365120,7331,520.332547738773,187.166973882435,134.322913867936,77.8939251160663,51.0803965315306,0.101933705328604,0.125340883535514,0.157723887897021,0.184610379627635
365118,7330,520.88920679991,187.360465572945,134.461924720018,77.9551242840445,51.1076336686874,0.102052572088754,0.125485663678414,0.157867435487584,0.184730291431769
365119,7331,520.9999429432,187.417335812545,134.479955609462,77.9672688403958,51.1229529318627,0.102070218415762,0.12548845123105,0.157877071946141,0.184771993687683
365122,7331,520.332547738773,187.166973882435,134.322913867936,77.8939251160663,51.0803965315306,0.101933705328604,0.125340883535514,0.157723887897021,0.184610379627635
365121,7331,520.9999429432,187.417335812545,134.479955609462,77.9672688403958,51.1229529318627,0.102070218415762,0.12548845123105,0.157877071946141,0.184771993687683
365123,7333,521.421129397147,187.550718081477,134.580388066865,78.012331331745,51.1466555116597,0.102114240839849,0.125546885825917,0.157923438035425,0.184801024626404
365124,7333,521.207637705679,187.421151347353,134.447833015911,77.941889748446,51.113688762333,0.102044833858901,0.125426307467946,0.157783642182588,0.184685812837741
365127,7333,520.741094006585,187.344541324037,134.424283646687,77.9396013103269,51.1117159759196,0.102003609319715,0.125405364507979,0.157779009524815,0.184682587044527
365126,7331,520.9999429432,187.417335812545,134.479955609462,77.9672688403958,51.1229529318627,0.102070218415762,0.12548845123105,0.157877071946141,0.184771993687683
365125,7333,521.207637705679,187.421151347353,134.447833015911,77.941889748446,51.113688762333,0.102044833858901,0.125426307467946,0.157783642182588,0.184685812837741
365128,7333,522.065030439506,187.735733189575,134.670255562688,78.0366526796952,51.1569295112926,0.102216113629588,0.125632777241911,0.157972672698976,0.184836193469569
365129,7333,521.421129397147,187.550718081477,134.580388066865,78.012331331745,51.1466555116597,0.102114240839849,0.125546885825917,0.157923438035425,0.184801024626404
365131,7333,520.741094006585,187.344541324037,134.424283646687,77.9396013103269,51.1117159759196,0.102003609319715,0.125405364507979,0.157779009524815,0.184682587044527
365133,7331,520.9999429432,187.417335812545,134.479955609462,77.9672688403958,51.1229529318627,0.102070218415762,0.12548845123105,0.157877071946141,0.184771993687683
365132,7332,520.441765886015,187.22359209774,134.340848606021,77.9060423389581,51.0957110767104,0.10195122760517,0.125343597236002,0.157733481413497,0.184652068855773
365130,7333,522.065030439506,187.735733189575,134.670255562688,78.0366526796952,51.1569295112926,0.102216113629588,0.125632777241911,0.157972672698976,0.184836193469569
365134,7332,521.764929907613,187.614782554068,134.586969196962,78.0031433540101,51.1409504644217,0.102163759481272,0.125571178855454,0.157927273425713,0.184805793037185
365135,7334,522.261266295249,187.818754805843,134.749447516106,78.0861544853795,51.1858573977002,0.102248456569166,0.125691226303524,0.158052299480368,0.18491531700272
365136,7332,520.441765886015,187.22359209774,134.340848606021,77.9060423389581,51.0957110767104,0.10195122760517,0.125343597236002,0.157733481413497,0.184652068855773
