r,Phi,Theta
1,0.0108094735668018,0.0240368604721456
1,0.00968087423848107,3.13522558490756
1,1.57721129133145,0.357084227072509
1,1.57169369461521,0.747610944652699
1,1.97074760712049,1.02084170704093
1,2.20983823982703,1.37787096955694
1,2.62763944117496,1.39012881226175
1,3.04169431975249,1.40696375224253
1,2.44557442452994,1.01816128363617
1,2.83578764229671,1.10100360933301
1,2.83486281784712,0.746372620389681
1,2.20419524318542,0.64511218065427
1,2.83348341866806,0.354607578546473
1,-2.48648301518342,2.69436641105198
1,-1.90290311249777,2.68952283893461
1,-1.18516096465803,2.67383217327282
1,-0.694204581847993,2.66485040361827
1,0.0781649084805878,2.67447484789033
1,0.566660317755255,2.65422275994325
1,1.27159599821669,2.69334753665836
1,1.87282594039803,2.68554139130414
1,2.58663366557932,2.67616774688281
1,3.0824492954974,2.66950587584759
1,-2.82791566198168,2.59986189229582
1,-1.57327373367486,2.59246329669905
1,-0.317754005890466,2.58754134962832
1,0.937483572061852,2.58957909841557
1,2.19745499719685,2.58600520054255
1,-2.5075502026454,2.47156209365273
1,-1.86906080763883,2.45872427629309
1,-1.25245369960913,2.4680508957424
1,-0.587457895377692,2.4648531976455
1,0.00289360327788746,2.44975818162921
1,0.656650439198133,2.45685895240323
1,1.25106176043753,2.4582853765543
1,1.92717113305479,2.46320732362503
1,2.50783548747562,2.45939830089195
1,-3.12511348510604,2.4625176240355
1,-3.00833480460623,2.26590621604769
1,-2.82330721472437,2.23723665811022
1,-2.60283847093512,2.26410359212051
1,-2.33600310474071,2.31260201325694
1,-2.05921411947014,2.30614391710044
1,-1.76999486659737,2.26283391787615
1,-1.56933931101641,2.24095163089927
1,-1.36595630705868,2.25264517393992
1,-1.08543667400838,2.3078524910836
1,-0.807315314530768,2.3111599141152
1,-0.519835985622496,2.25709687129052
1,-0.322393803129116,2.23323953548908
1,-0.0970971622131627,2.2523316741265
1,0.172951577068828,2.30260136920877
1,0.446072614522358,2.31109721415252
1,0.735229167432438,2.25549802224207
1,0.932592974972463,2.21645162048032
1,1.16080516415324,2.24985502560047
1,1.42155863396726,2.30586176726836
1,1.71261186074855,2.31169286379802
